Timestamp (ns),raw,QUAT W,QUAT X,QUAT Y,QUAT Z,ACCEL X,ACCEL Y,ACCEL Z,GYRO X,GYRO Y,GYRO Z
1599834794727567430,3fff0060fff00005fb0e0f0dfd1100b8fdc5005f,16383,96,-16,5,-1266,3853,-751,184,-571,95
1599834794730340051,3fff0070ffda0008fb0c0f05fd0400b8fdc10058,16383,112,-38,8,-1268,3845,-764,184,-575,88
1599834794772598831,3fff007fffc3000cfb070f0dfd0200b6fdbd0053,16383,127,-61,12,-1273,3853,-766,182,-579,83
1599834794774785103,3fff008effac000ffb0c0f0cfcf300b6fdbd004d,16383,142,-84,15,-1268,3852,-781,182,-579,77
1599834794818352916,3ffe009dff950012faf50f14fd2300b1fdb40046,16382,157,-107,18,-1291,3860,-733,177,-588,70
1599834794952602608,3ffe00acff7e0014faff0f13fcf400adfdb0003d,16382,172,-130,20,-1281,3859,-780,173,-592,61
1599834794959676250,3ffe00bbff660016fafb0f19fcfb00a9fdb20035,16382,187,-154,22,-1285,3865,-773,169,-590,53
1599834795042631643,3ffd00caff4f0018faef0f1ffce100a2fdbb0030,16381,202,-177,24,-1297,3871,-799,162,-581,48
1599834795049481829,3ffd00d7ff39001afb1a0f13fccc0095fdc00030,16381,215,-199,26,-1254,3859,-820,149,-576,48
1599834795087613267,3ffc00e5ff22001cfb1f0f13fcae0090fdc50038,16380,229,-222,28,-1249,3859,-850,144,-571,56
1599834795095085908,3ffc00f3ff0c001ffb4b0f26fc89008cfdc50046,16380,243,-244,31,-1205,3878,-887,140,-571,70
1599834795097093582,3ffb0100fef40022fb4c0f33fc7d0087fdb8004d,16379,256,-268,34,-1204,3891,-899,135,-584,77
1599834795099002688,3ffb010dfedc0025fb4f0f26fc38007ffda70052,16379,269,-292,37,-1201,3878,-968,127,-601,82
1599834795132630475,3ffa011afec30028fb520f39fc540074fd840056,16378,282,-317,40,-1198,3897,-940,116,-636,86
1599834795133906916,3ff90126fea8002bfb6a0f4bfc3b0076fd5b0058,16377,294,-344,43,-1174,3915,-965,118,-677,88
1599834795135785391,3ff80133fe8a002ffb460f5cfc49007cfd300056,16376,307,-374,47,-1210,3932,-951,124,-720,86
1599834795231115159,3ff70141fe6b0032fb390f41fc290086fd090058,16375,321,-405,50,-1223,3905,-983,134,-759,88
1599834795232149834,3ff6014efe4b0035fb100f36fc57008cfce80058,16374,334,-437,53,-1264,3894,-937,140,-792,88
1599834795233251396,3ff5015cfe2a0037fafa0f06fc660083fcd6004e,16373,348,-470,55,-1286,3846,-922,131,-810,78
1599834795235198427,3ff40168fe09003afae00efefc8c007cfcd30047,16372,360,-503,58,-1312,3838,-884,124,-813,71
1599834795267610903,3ff20175fde9003bfaa70ed9fc940074fce30037,16370,373,-535,59,-1369,3801,-876,116,-797,55
