timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1599052212.2326016,None,2 3 1,None,rocket,60.00705432891846,0,False,False
1599052212.247954,3 2 1,2 1 3,rocket,hair,0.003875732421875,1,False,False
1599052212.2599227,2 3 1,1 2 3,hair,hair,0.008188962936401367,2,True,False
1599052212.2699358,3 1 2,1 2 3,shouldershrug,rocket,0.0049037933349609375,3,False,False
1599052212.284483,1 3 2,3 2 1,elbowlock,zigzag,0.009275436401367188,4,False,False
1599385115.6683707,None,3 1 2,None,zigzag,60.00056600570679,0,False,False
1599385115.690719,3 2 1,3 1 2,rocket,hair,0.0030241012573242188,1,False,False
1599385115.6969094,2 3 1,3 2 1,hair,hair,0.002706766128540039,2,True,False
1599385115.7045424,3 1 2,3 1 2,shouldershrug,hair,0.002588033676147461,3,False,True
1599385115.7134094,1 3 2,3 2 1,elbowlock,rocket,0.005519390106201172,4,False,False
1599385444.4806962,None,1 2 3,None,rocket,60.00068950653076,0,False,False
1599385444.489973,1 2 3,1 3 2,rocket,zigzag,0.002564668655395508,1,False,False
1599385444.5043166,2 3 1,1 2 3,hair,hair,0.005312681198120117,2,True,False
1599385444.512601,3 1 2,3 2 1,shouldershrug,zigzag,0.0019698143005371094,3,False,False
1599385444.521106,1 3 2,1 2 3,elbowlock,zigzag,0.0037789344787597656,4,False,False
1599385845.9506264,None,3 1 2,None,hair,60.00096130371094,0,False,False
1599385845.9586196,1 2 3,2 3 1,rocket,rocket,0.0024521350860595703,1,True,False
1599385845.9700375,2 3 1,2 1 3,hair,zigzag,0.007375478744506836,2,False,False
1599385845.9752054,3 1 2,3 2 1,shouldershrug,hair,0.0015475749969482422,3,False,False
1599385845.9821029,1 3 2,2 3 1,elbowlock,rocket,0.002357006072998047,4,False,False
1599641088.4961374,None,2 1 3,None,zigzag,60.000972509384155,0,False,False
1599641088.5167217,1 2 3,2 3 1,rocket,zigzag,0.0013446807861328125,1.87,False,False
1599641088.521418,2 3 1,3 2 1,hair,hair,0.0017080307006835938,1.87,True,False
1599641088.5287507,3 1 2,2 1 3,shouldershrug,hair,0.004067182540893555,1.87,False,False
1599641088.5376728,1 3 2,2 1 3,elbowlock,rocket,0.005753040313720703,1.87,False,False
1599641786.280582,None,3 2 1,None,rocket,60.001495122909546,0,False,False
1599642116.4056685,3 2 1,3 1 2,zigzag,rocket,21.92752170562744,1.89,False,False
1599642116.411327,1 2 3,1 2 3,rocket,hair,0.0012059211730957031,2.43,False,True
1599642116.415488,2 3 1,2 3 1,hair,hair,0.0009479522705078125,1.5,True,True
1599642116.4192264,3 1 2,3 2 1,shouldershrug,hair,0.0008485317230224609,0.54,False,False
1599642116.4281962,1 3 2,2 3 1,elbowlock,hair,0.0057888031005859375,2,False,False
1599642262.700737,None,3 2 1,None,rocket,60.00132656097412,0,False,False
1599642262.7083106,1 2 3,3 2 1,rocket,hair,0.0016057491302490234,2.43,False,False
1599642262.7137275,2 3 1,1 3 2,hair,rocket,0.0021371841430664062,1.5,False,False
1599642262.7214894,3 1 2,3 1 2,shouldershrug,zigzag,0.004224538803100586,0.54,False,True
1599642262.726076,1 3 2,1 2 3,elbowlock,hair,0.001880645751953125,2,False,False
1599642883.1449373,None,3 1 2,None,zigzag,60.00083541870117,0,False,False
1599642883.1526926,1 2 3,3 2 1,rocket,hair,0.0027489662170410156,2.43,False,False
1599642883.1633637,2 3 1,1 3 2,hair,rocket,0.007379293441772461,1.5,False,False
1599642883.1710596,3 1 2,1 2 3,shouldershrug,rocket,0.004122734069824219,0.54,False,False
1599642883.1821494,1 3 2,2 1 3,elbowlock,hair,0.005390644073486328,2,False,False
1599643045.1025121,None,1 2 3,None,hair,60.00065493583679,0,False,False
1599643045.1107104,1 2 3,1 2 3,rocket,zigzag,0.0031108856201171875,2.43,False,True
1599643045.1208248,2 3 1,3 1 2,hair,zigzag,0.006587028503417969,1.5,False,False
1599643045.128135,3 1 2,3 2 1,shouldershrug,rocket,0.0039479732513427734,0.54,False,False
1599643045.134023,1 3 2,2 1 3,elbowlock,rocket,0.002132415771484375,2,False,False
1599652093.4743621,None,1 3 2,None,rocket,60.00117063522339,0,False,False
1599652093.4903412,1 2 3,1 3 2,rocket,zigzag,0.002213001251220703,2.43,False,False
1599652093.4958193,2 3 1,2 1 3,hair,rocket,0.0021703243255615234,1.5,False,False
1599652093.502979,3 1 2,1 3 2,shouldershrug,hair,0.0022161006927490234,0.54,False,False
1599652093.5143437,1 3 2,3 2 1,elbowlock,hair,0.007250308990478516,2,False,False
1599652239.8047955,None,3 1 2,None,hair,60.0014123916626,0,False,False
1599652239.815695,1 2 3,2 1 3,rocket,zigzag,0.005937099456787109,2.43,False,False
1599652239.825132,2 3 1,3 2 1,hair,zigzag,0.0057218074798583984,1.5,False,False
1599652239.835135,3 1 2,2 3 1,shouldershrug,hair,0.006789684295654297,0.54,False,False
1599652239.8408945,1 3 2,3 1 2,elbowlock,zigzag,0.0024590492248535156,2,False,False
1599652440.1378167,None,3 1 2,None,rocket,60.00119638442993,0,False,False
1599652440.1449513,1 2 3,3 1 2,rocket,rocket,0.002021312713623047,2.43,True,False
1599652440.1496036,2 3 1,2 3 1,hair,rocket,0.0016493797302246094,1.5,False,True
1599652440.158514,3 1 2,1 3 2,shouldershrug,zigzag,0.002390623092651367,0.54,False,False
1599652440.1684456,1 3 2,3 1 2,elbowlock,hair,0.005784749984741211,2,False,False
1599655515.6471107,None,2 1 3,None,rocket,60.0012104511261,0,False,False
1599655515.656317,1 2 3,3 2 1,rocket,rocket,0.0031087398529052734,2.43,True,False
1599655515.6680872,2 3 1,2 3 1,hair,zigzag,0.008178234100341797,1.5,False,True
1599655515.6805525,3 1 2,1 3 2,shouldershrug,rocket,0.00745701789855957,0.54,False,False
1599655515.6920173,1 3 2,2 3 1,elbowlock,hair,0.007783412933349609,2,False,False
